Stazione,Pontedera,,,,,,,,,,,,,,
Codice,TOS01005181,,,,,,,,,,,,,,
Comune,Pontedera,,,,,,,,,,,,,,
Provincia,PI,,,,,,,,,,,,,,
GB [m],E,1631547,N,4836012,,,,,,,,,,,
WGS84 [°],Lat,43.665,Lon,10.631,,,,,,,,,,,
Quota [m],10,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
10/06/2006,,@,,,,,,,,,,,,,
11/06/2006,,@,,,,,,,,,,,,,
12/06/2006,,@,,,,,,,,,,,,,
13/06/2006,,@,,,,,,,,,,,,,
14/06/2006,,@,,,,,,,,,,,,,
15/06/2006,,@,,,,,,,,,,,,,
16/06/2006,,@,,,,,,,,,,,,,
17/06/2006,,@,,,,,,,,,,,,,
18/06/2006,,@,,,,,,,,,,,,,
19/06/2006,,@,,,,,,,,,,,,,
20/06/2006,,@,,,,,,,,,,,,,
21/06/2006,,@,,,,,,,,,,,,,
22/06/2006,,@,,,,,,,,,,,,,
23/06/2006,,@,,,,,,,,,,,,,
24/06/2006,,@,,,,,,,,,,,,,
25/06/2006,,@,,,,,,,,,,,,,
26/06/2006,,@,,,,,,,,,,,,,
27/06/2006,,@,,,,,,,,,,,,,
28/06/2006,,@,,,,,,,,,,,,,
29/06/2006,,@,,,,,,,,,,,,,
30/06/2006,,@,,,,,,,,,,,,,
01/07/2006,,@,,,,,,,,,,,,,
02/07/2006,,@,,,,,,,,,,,,,
03/07/2006,,@,,,,,,,,,,,,,
04/07/2006,,@,,,,,,,,,,,,,
05/07/2006,,@,,,,,,,,,,,,,
06/07/2006,,@,,,,,,,,,,,,,
07/07/2006,,@,,,,,,,,,,,,,
08/07/2006,,@,,,,,,,,,,,,,
09/07/2006,,@,,,,,,,,,,,,,
10/07/2006,,@,,,,,,,,,,,,,
11/07/2006,,@,,,,,,,,,,,,,
12/07/2006,,@,,,,,,,,,,,,,
13/07/2006,,@,,,,,,,,,,,,,
14/07/2006,,@,,,,,,,,,,,,,
15/07/2006,,@,,,,,,,,,,,,,
16/07/2006,,@,,,,,,,,,,,,,
17/07/2006,,@,,,,,,,,,,,,,
18/07/2006,,@,,,,,,,,,,,,,
19/07/2006,,@,,,,,,,,,,,,,
20/07/2006,,@,,,,,,,,,,,,,
21/07/2006,,@,,,,,,,,,,,,,
22/07/2006,,@,,,,,,,,,,,,,
23/07/2006,,@,,,,,,,,,,,,,
24/07/2006,,@,,,,,,,,,,,,,
25/07/2006,,@,,,,,,,,,,,,,
26/07/2006,,@,,,,,,,,,,,,,
27/07/2006,,@,,,,,,,,,,,,,
28/07/2006,,@,,,,,,,,,,,,,
29/07/2006,,@,,,,,,,,,,,,,
30/07/2006,,@,,,,,,,,,,,,,
31/07/2006,,@,,,,,,,,,,,,,
01/08/2006,,@,,,,,,,,,,,,,
02/08/2006,,@,,,,,,,,,,,,,
03/08/2006,,@,,,,,,,,,,,,,
04/08/2006,,@,,,,,,,,,,,,,
05/08/2006,,@,,,,,,,,,,,,,
06/08/2006,,@,,,,,,,,,,,,,
07/08/2006,,@,,,,,,,,,,,,,
08/08/2006,,@,,,,,,,,,,,,,
09/08/2006,,@,,,,,,,,,,,,,
10/08/2006,,@,,,,,,,,,,,,,
11/08/2006,,@,,,,,,,,,,,,,
12/08/2006,,@,,,,,,,,,,,,,
13/08/2006,,@,,,,,,,,,,,,,
14/08/2006,,@,,,,,,,,,,,,,
15/08/2006,,@,,,,,,,,,,,,,
16/08/2006,,@,,,,,,,,,,,,,
17/08/2006,,@,,,,,,,,,,,,,
18/08/2006,,@,,,,,,,,,,,,,
19/08/2006,,@,,,,,,,,,,,,,
20/08/2006,,@,,,,,,,,,,,,,
21/08/2006,,@,,,,,,,,,,,,,
22/08/2006,,@,,,,,,,,,,,,,
23/08/2006,,@,,,,,,,,,,,,,
24/08/2006,,@,,,,,,,,,,,,,
25/08/2006,,@,,,,,,,,,,,,,
26/08/2006,,@,,,,,,,,,,,,,
27/08/2006,,@,,,,,,,,,,,,,
28/08/2006,,@,,,,,,,,,,,,,
29/08/2006,,@,,,,,,,,,,,,,
30/08/2006,,@,,,,,,,,,,,,,
31/08/2006,,@,,,,,,,,,,,,,
01/09/2006,,@,,,,,,,,,,,,,
02/09/2006,,@,,,,,,,,,,,,,
03/09/2006,,@,,,,,,,,,,,,,
04/09/2006,,@,,,,,,,,,,,,,
05/09/2006,,@,,,,,,,,,,,,,
06/09/2006,,@,,,,,,,,,,,,,
07/09/2006,,@,,,,,,,,,,,,,
08/09/2006,,@,,,,,,,,,,,,,
09/09/2006,,@,,,,,,,,,,,,,
10/09/2006,,@,,,,,,,,,,,,,
11/09/2006,,@,,,,,,,,,,,,,
12/09/2006,,@,,,,,,,,,,,,,
13/09/2006,,@,,,,,,,,,,,,,
14/09/2006,,@,,,,,,,,,,,,,
15/09/2006,,@,,,,,,,,,,,,,
16/09/2006,,@,,,,,,,,,,,,,
17/09/2006,,@,,,,,,,,,,,,,
18/09/2006,,@,,,,,,,,,,,,,
19/09/2006,,@,,,,,,,,,,,,,
20/09/2006,,@,,,,,,,,,,,,,
21/09/2006,,@,,,,,,,,,,,,,
22/09/2006,,@,,,,,,,,,,,,,
23/09/2006,,@,,,,,,,,,,,,,
24/09/2006,,@,,,,,,,,,,,,,
25/09/2006,,@,,,,,,,,,,,,,
26/09/2006,,@,,,,,,,,,,,,,
27/09/2006,,@,,,,,,,,,,,,,
28/09/2006,,@,,,,,,,,,,,,,
29/09/2006,,@,,,,,,,,,,,,,
30/09/2006,,@,,,,,,,,,,,,,
01/10/2006,,@,,,,,,,,,,,,,
02/10/2006,,@,,,,,,,,,,,,,
03/10/2006,,@,,,,,,,,,,,,,
04/10/2006,,@,,,,,,,,,,,,,
05/10/2006,,@,,,,,,,,,,,,,
06/10/2006,,@,,,,,,,,,,,,,
07/10/2006,,@,,,,,,,,,,,,,
08/10/2006,,@,,,,,,,,,,,,,
09/10/2006,,@,,,,,,,,,,,,,
10/10/2006,,@,,,,,,,,,,,,,
11/10/2006,,@,,,,,,,,,,,,,
12/10/2006,,@,,,,,,,,,,,,,
13/10/2006,,@,,,,,,,,,,,,,
14/10/2006,,@,,,,,,,,,,,,,
15/10/2006,,@,,,,,,,,,,,,,
16/10/2006,,@,,,,,,,,,,,,,
17/10/2006,,@,,,,,,,,,,,,,
18/10/2006,,@,,,,,,,,,,,,,
19/10/2006,,@,,,,,,,,,,,,,
20/10/2006,,@,,,,,,,,,,,,,
21/10/2006,,@,,,,,,,,,,,,,
22/10/2006,,@,,,,,,,,,,,,,
23/10/2006,,@,,,,,,,,,,,,,
24/10/2006,,@,,,,,,,,,,,,,
25/10/2006,,@,,,,,,,,,,,,,
26/10/2006,,@,,,,,,,,,,,,,
27/10/2006,,@,,,,,,,,,,,,,
28/10/2006,,@,,,,,,,,,,,,,
29/10/2006,,@,,,,,,,,,,,,,
30/10/2006,,@,,,,,,,,,,,,,
31/10/2006,,@,,,,,,,,,,,,,
01/11/2006,,@,,,,,,,,,,,,,
02/11/2006,,@,,,,,,,,,,,,,
03/11/2006,,@,,,,,,,,,,,,,
04/11/2006,,@,,,,,,,,,,,,,
05/11/2006,,@,,,,,,,,,,,,,
06/11/2006,,@,,,,,,,,,,,,,
07/11/2006,,@,,,,,,,,,,,,,
08/11/2006,,@,,,,,,,,,,,,,
09/11/2006,,@,,,,,,,,,,,,,
10/11/2006,,@,,,,,,,,,,,,,
11/11/2006,,@,,,,,,,,,,,,,
12/11/2006,,@,,,,,,,,,,,,,
13/11/2006,,@,,,,,,,,,,,,,
14/11/2006,,@,,,,,,,,,,,,,
15/11/2006,,@,,,,,,,,,,,,,
16/11/2006,,@,,,,,,,,,,,,,
17/11/2006,,@,,,,,,,,,,,,,
18/11/2006,,@,,,,,,,,,,,,,
19/11/2006,,@,,,,,,,,,,,,,
20/11/2006,,@,,,,,,,,,,,,,
21/11/2006,,@,,,,,,,,,,,,,
22/11/2006,,@,,,,,,,,,,,,,
23/11/2006,,@,,,,,,,,,,,,,
24/11/2006,,@,,,,,,,,,,,,,
25/11/2006,,@,,,,,,,,,,,,,
26/11/2006,,@,,,,,,,,,,,,,
27/11/2006,,@,,,,,,,,,,,,,
28/11/2006,,@,,,,,,,,,,,,,
29/11/2006,,@,,,,,,,,,,,,,
30/11/2006,,@,,,,,,,,,,,,,
01/12/2006,,@,,,,,,,,,,,,,
02/12/2006,,@,,,,,,,,,,,,,
03/12/2006,,@,,,,,,,,,,,,,
04/12/2006,,@,,,,,,,,,,,,,
05/12/2006,,@,,,,,,,,,,,,,
06/12/2006,,@,,,,,,,,,,,,,
07/12/2006,,@,,,,,,,,,,,,,
08/12/2006,,@,,,,,,,,,,,,,
09/12/2006,,@,,,,,,,,,,,,,
10/12/2006,,@,,,,,,,,,,,,,
11/12/2006,,@,,,,,,,,,,,,,
12/12/2006,,@,,,,,,,,,,,,,
13/12/2006,,@,,,,,,,,,,,,,
14/12/2006,,@,,,,,,,,,,,,,
15/12/2006,,@,,,,,,,,,,,,,
16/12/2006,,@,,,,,,,,,,,,,
17/12/2006,,@,,,,,,,,,,,,,
18/12/2006,,@,,,,,,,,,,,,,
19/12/2006,,@,,,,,,,,,,,,,
20/12/2006,,@,,,,,,,,,,,,,
21/12/2006,,@,,,,,,,,,,,,,
22/12/2006,,@,,,,,,,,,,,,,
23/12/2006,,@,,,,,,,,,,,,,
24/12/2006,,@,,,,,,,,,,,,,
25/12/2006,,@,,,,,,,,,,,,,
26/12/2006,,@,,,,,,,,,,,,,
27/12/2006,,@,,,,,,,,,,,,,
28/12/2006,,@,,,,,,,,,,,,,
29/12/2006,,@,,,,,,,,,,,,,
30/12/2006,,@,,,,,,,,,,,,,
31/12/2006,,@,,,,,,,,,,,,,
01/01/2009,86,9,V,,,,,,,,,,,,
02/01/2009,122,393,V,,,,,,,,,,,,
03/01/2009,90,478,V,,,,,,,,,,,,
04/01/2009,103,143,V,,,,,,,,,,,,
05/01/2009,67,112,V,,,,,,,,,,,,
06/01/2009,64,211,V,,,,,,,,,,,,
07/01/2009,54,827,V,,,,,,,,,,,,
08/01/2009,91,107,V,,,,,,,,,,,,
09/01/2009,83,312,V,,,,,,,,,,,,
10/01/2009,78,919,V,,,,,,,,,,,,
11/01/2009,78,250,V,,,,,,,,,,,,
12/01/2009,71,748,V,,,,,,,,,,,,
13/01/2009,49,666,V,,,,,,,,,,,,
14/01/2009,44,521,V,,,,,,,,,,,,
15/01/2009,61,736,V,,,,,,,,,,,,
16/01/2009,61,731,V,,,,,,,,,,,,
17/01/2009,57,787,V,,,,,,,,,,,,
18/01/2009,49,50,V,,,,,,,,,,,,
19/01/2009,49,786,V,,,,,,,,,,,,
